Original Name,Player,Wikipedia,Image URL
Luiz Gustavo Dias,Luiz Gustavo,https://en.wikipedia.org/wiki/Luiz_Gustavo,//upload.wikimedia.org/wikipedia/commons/thumb/1/15/20141118_AUTBRA_5085.jpg/220px-20141118_AUTBRA_5085.jpg
Kieran Trippier,Kieran Trippier,https://en.wikipedia.org/wiki/Kieran_Trippier,//upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Kieran_Trippier_2018.jpg/220px-Kieran_Trippier_2018.jpg
Aaron Ramsey,Aaron Ramsey,https://en.wikipedia.org/wiki/Aaron_Ramsey,//upload.wikimedia.org/wikipedia/commons/thumb/2/2e/2022_FIFA_World_Cup_United_States_1%E2%80%931_Wales_-_%2836%29_%28cropped%29.jpg/220px-2022_FIFA_World_Cup_United_States_1%E2%80%931_Wales_-_%2836%29_%28cropped%29.jpg
Aaron Ramsey,"Aaron Ramsey (footballer, born 2003)","https://en.wikipedia.org/wiki/Aaron_Ramsey_(footballer,_born_2003)",
Mario  Barwuah Balotelli,Mario Balotelli,https://en.wikipedia.org/wiki/Mario_Balotelli,//upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Mario_Balotelli_OM_%28cropped%29.jpg/220px-Mario_Balotelli_OM_%28cropped%29.jpg
Marlos Romero Bonfim,Marlos,https://en.wikipedia.org/wiki/Marlos,//upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Marlos_2018.jpg/220px-Marlos_2018.jpg
Taison Barcellos Freda,Taison,https://en.wikipedia.org/wiki/Taison,//upload.wikimedia.org/wikipedia/commons/thumb/1/15/Taison-shakhtar-2019.png/220px-Taison-shakhtar-2019.png
Giacomo Bonaventura,Giacomo Bonaventura,https://en.wikipedia.org/wiki/Giacomo_Bonaventura,//upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Giacomo_Bonaventura_%2831931883345%29.jpg/220px-Giacomo_Bonaventura_%2831931883345%29.jpg
Geoffrey Kondogbia,Geoffrey Kondogbia,https://en.wikipedia.org/wiki/Geoffrey_Kondogbia,//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Geoffrey_Kondogbia_2019.jpg/220px-Geoffrey_Kondogbia_2019.jpg
Jérôme Roussillon,Jérôme Roussillon,https://en.wikipedia.org/wiki/J%C3%A9r%C3%B4me_Roussillon,//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/J%C3%A9r%C3%B4me_Roussillon_2019.jpg/220px-J%C3%A9r%C3%B4me_Roussillon_2019.jpg
Simone Zaza,Simone Zaza,https://en.wikipedia.org/wiki/Simone_Zaza,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Simone_Zaza.jpg/220px-Simone_Zaza.jpg
Šime Vrsaljko,Šime Vrsaljko,https://en.wikipedia.org/wiki/%C5%A0ime_Vrsaljko,//upload.wikimedia.org/wikipedia/commons/thumb/5/55/%C5%A0ime_Vrsaljko_2018.jpg/220px-%C5%A0ime_Vrsaljko_2018.jpg
Christoph Kramer,Christoph Kramer,https://en.wikipedia.org/wiki/Christoph_Kramer,//upload.wikimedia.org/wikipedia/commons/thumb/3/33/Christoph_Kramer_2015.jpg/220px-Christoph_Kramer_2015.jpg
Benjamin Mendy,Benjamin Mendy,https://en.wikipedia.org/wiki/Benjamin_Mendy,//upload.wikimedia.org/wikipedia/commons/thumb/c/c6/U-19_EC-Qualifikation_Austria_vs._France_2013-06-10_%28057%29_%28cropped%29.jpg/220px-U-19_EC-Qualifikation_Austria_vs._France_2013-06-10_%28057%29_%28cropped%29.jpg
Marcel Sabitzer,Marcel Sabitzer,https://en.wikipedia.org/wiki/Marcel_Sabitzer,//upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Marcel_Sabitzer_2020_%28cropped%29.jpg/220px-Marcel_Sabitzer_2020_%28cropped%29.jpg
Matija Nastasic,Matija Nastasić,https://en.wikipedia.org/wiki/Matija_Nastasi%C4%87,//upload.wikimedia.org/wikipedia/commons/thumb/9/93/2018-08-17_1._FC_Schweinfurt_05_vs._FC_Schalke_04_%28DFB-Pokal%29_by_Sandro_Halank%E2%80%93466.jpg/220px-2018-08-17_1._FC_Schweinfurt_05_vs._FC_Schalke_04_%28DFB-Pokal%29_by_Sandro_Halank%E2%80%93466.jpg
Alassane Plea,Alassane Pléa,https://en.wikipedia.org/wiki/Alassane_Pl%C3%A9a,//upload.wikimedia.org/wikipedia/commons/thumb/0/0e/2022128154313_2022-05-08_Fussball_Eintracht_Frankfurt_vs_Borussia_M%C3%B6nchengladbach_-_Sven_-_1D_X_MK_II_-_0983_-_B70I7094_%28cropped%29.jpg/220px-2022128154313_2022-05-08_Fussball_Eintracht_Frankfurt_vs_Borussia_M%C3%B6nchengladbach_-_Sven_-_1D_X_MK_II_-_0983_-_B70I7094_%28cropped%29.jpg
